Feature	SampleID_25	SampleID_26	SampleID_27	SampleID_28	SampleID_29	SampleID_31	SampleID_32	SampleID_37	SampleID_38	SampleID_39	SampleID_40	SampleID_44	SampleID_47	SampleID_48	SampleID_49	SampleID_50	SampleID_52	SampleID_53	SampleID_54	SampleID_55	SampleID_56	SampleID_58	SampleID_59	SampleID_60	SampleID_61	SampleID_62	SampleID_64	SampleID_65	SampleID_66	SampleID_68	SampleID_69	SampleID_70	SampleID_75	SampleID_78	SampleID_79	SampleID_81	SampleID_82	SampleID_83	SampleID_2	SampleID_3	SampleID_4	SampleID_86	SampleID_87	SampleID_88	SampleID_89	SampleID_90	SampleID_91	SampleID_92	SampleID_93	SampleID_94	SampleID_95	SampleID_96	SampleID_97	SampleID_100	SampleID_5	SampleID_6	SampleID_7	SampleID_8	SampleID_103	SampleID_104	SampleID_105	SampleID_107	SampleID_108	SampleID_110	SampleID_111	SampleID_112	SampleID_113	SampleID_9	SampleID_10	SampleID_11	SampleID_17	SampleID_19	SampleID_20
10-Hydroxydecanoic acid	0.008465741	0.006204869	0.007441682	0.006946833	0.008512072	0.001907551	0.003517545	0.003421929	0.01675649	0.01572006	0.005394884	0.01744355	0.01108636	0.004790095	0.009772451	0.004997043	0.009296013	0.007936355	0.003783737	0.003048305	0.004850206	0.003598403	0.00798401	0.005676469	0.003337377	0.007489241	0.01131019	0.004247199	0.004029185	0.008534705	0.003751107	0.005084801	0.007550293	0.00269301	0.005748436	0.003528326	0.00515834	0.002721157	0.01199894	0.003181678	0.005887812	0.005181476	0.005017336	0.004397934	0.004425291	0.004176076	0.003600946	0.004329662	0.006348035	0.003143907	0.003872767	0.002836674	0.01043098	0.005617601	0.009473146	0.005570191	0.00970765	0.007154823	0.01601507	0.003818368	0.008774769	0.004669933	0.00711183	0.01747251	0.0171872	0.02389578	0.007899461	0.009113451	0.00871879	0.004243674	0.01196594	0.003857482	0.003879453
3-hydroxybutyric acid	0.3419016	0.3173761	0.4432494	0.4682517	0.2964519	0.2346278	0.3290571	0.1064108	0.2114645	0.2277194	0.1445918	0.7190507	0.3180818	0.5062874	0.3961804	3.335748	0.5323302	0.6931307	0.2214337	0.3354675	0.5407437	0.4380465	0.4434119	0.6376562	0.1810276	0.5715184	0.3957187	0.3651077	0.4566047	0.1713913	0.164342	0.3205263	0.3158226	0.3077426	0.4557713	0.3432376	0.6509794	0.3642619	0.3786077	2.059111	0.7963869	0.7746439	0.7357565	0.2255914	0.2517397	0.1461403	0.141867	0.4251093	0.5831344	1.272759	0.5191699	0.1850178	0.1847764	0.5687978	0.3563675	1.546374	0.338958	0.8655828	0.1263547	0.197019	0.1738881	0.4960811	0.1950731	3.31094	0.4282315	0.4559307	0.3232204	0.2312391	2.565314	0.3202601	3.065232	0.2877563	3.197478
5-Hydroxymethyluracil	0.003426951	0.0	0.005190172	0.001378165	0.001713983	0.001117027	0.001836964	0.001719403	0.001618882	0.0	0.00122861	0.001793491	0.001570566	0.001568302	0.002571038	0.001499447	0.0	0.0	0.001721663	0.001552394	0.001484483	0.0	0.00164649	0.003057851	0.0	0.0	0.001467658	0.001704035	0.002077596	0.002214854	0.001617621	0.001188761	0.001637074	0.002096273	0.001667478	0.001614294	0.002107162	0.001851871	0.0	0.0	0.001243633	0.001879762	0.0	0.002047169	0.0	0.0020224	0.001857937	0.00156927	0.001410051	0.002946479	0.0	0.002542591	0.001843096	0.003287283	0.0	0.002514607	0.001188883	0.001143835	0.0	0.003666984	0.0	0.001597842	0.00149703	0.001812543	0.001784033	0.001818309	0.002281508	0.002036324	0.001581198	0.001418735	0.001147162	0.001878903	0.001486686
Acetoacetate	0.01070283	0.009323736	0.01804644	0.01895449	0.02005973	0.009421641	0.02125055	0.0132453	0.0108028	0.01445159	0.01068032	0.03451423	0.03170002	0.03580471	0.01511399	0.09636614	0.02000684	0.05304951	0.02089962	0.02992813	0.01772531	0.02244573	0.01672283	0.01651318	0.009546646	0.01332579	0.01139192	0.02420664	0.01613525	0.009770751	0.01863321	0.02452932	0.01901808	0.01271101	0.009891481	0.01310204	0.02633252	0.02039615	0.02610119	0.07653693	0.03496831	0.02486384	0.02319771	0.01606327	0.01426047	0.01550748	0.02817828	0.01281075	0.008975714	0.04970086	0.01961014	0.008694309	0.008958655	0.01381127	0.01557639	0.05664309	0.01023318	0.02684186	0.0101443	0.01995544	0.01606945	0.02091902	0.0136775	0.105359	0.02157203	0.01856422	0.009216398	0.02605334	0.1344311	0.009238463	0.10464	0.01423158	0.148971
Aniline-2-Sulfonate	0.002635698	0.00269161	0.004151632	0.001444168	0.002945322	0.001689615	0.02058942	0.00460177	0.003000576	0.002744975	0.003495145	0.002687265	0.02303703	0.002354133	0.002258655	0.001614967	0.007410212	0.002647145	0.001654303	0.004521703	0.002205381	0.005879738	0.002311898	0.002414672	0.003185055	0.001818391	0.002768451	0.001709024	0.001716622	0.001920429	0.002462441	0.00222004	0.003374941	0.002364505	0.002251461	0.002709472	0.001708627	0.002290635	0.003397412	0.003145775	0.003774793	0.001688796	0.005350532	0.003338316	0.003376336	0.002117822	0.003236389	0.006335037	0.002826794	0.002545741	0.0	0.001997924	0.01256426	0.003129289	0.001765068	0.002403997	0.001791115	0.004172399	0.003434142	0.01652118	0.004956467	0.001825698	0.002296777	0.002557419	0.002457721	0.005714162	0.003276996	0.004260037	0.002077108	0.002505229	0.02626801	0.002528036	0.001737573
Carnitine	6.089521	6.103905	7.333943	7.680334	6.919611	7.134096	6.219065	5.563818	6.564642	7.178579	6.04236	3.563212	4.171875	5.318372	6.362644	5.309254	7.403629	5.595451	5.271318	5.117655	4.955121	7.659199	5.883686	7.651696	8.998451	8.640295	6.488481	5.177918	6.434653	6.241291	6.073952	7.624524	3.517643	6.078869	5.033414	5.428069	6.352762	6.10469	5.188624	5.118362	4.263675	6.124619	5.704013	5.202115	6.98006	5.841254	6.01646	5.609403	5.594726	4.053875	5.470135	3.661321	5.035266	4.514287	5.04368	5.405163	5.785195	5.382063	7.12657	6.475996	6.523502	6.657851	8.423205	3.73542	4.69039	6.863591	6.448538	6.716838	4.201807	5.811469	4.187147	4.326252	3.808761
N-Acetylglycine	0.009696683	0.01136099	0.008554342	0.005479067	0.007215157	0.00834582	0.01225768	0.009883671	0.006117975	0.008390967	0.008211427	0.01668638	0.01318505	0.01105939	0.006959684	0.009341439	0.01339446	0.01771613	0.008289847	0.01252752	0.006641568	0.01020063	0.009163143	0.0120060299999999	0.01137182	0.01186722	0.007264538	0.01194012	0.01066709	0.007626722	0.006908285	0.006353364	0.009652317	0.008458635	0.008210346	0.007636932	0.008889661	0.00669769	0.007732183	0.01088729	0.009122305	0.01693502	0.02194364	0.008802013	0.008822453	0.007603466	0.01062043	0.008914275	0.01787164	0.01982055	0.0187398	0.009690075	0.01199401	0.02813751	0.006221375	0.0118298	0.005276081	0.01246302	0.01117856	0.01215752	0.01245861	0.009840197	0.005341127	0.0148194	0.007508602	0.01164821	0.01147579	0.007353559	0.01204183	0.006890763	0.0204026	0.01469037	0.01476234
Normetanephrine	0.001424249	0.001021309	0.001645023	0.00170568	0.001254359	0.001993723	0.001885308	0.001439268	0.001340144	0.001840248	0.001597748	0.0007829031	0.0	0.001161741	0.001306751	0.001165383	0.001968166	0.001249619	0.001630212	0.0009427172	0.001422213	0.001818292	0.001251753	0.002501511	0.001095426	0.001797926	0.001179652	0.001752978	0.001368046	0.003407017	0.001325009	0.001682964	0.001648834	0.001397107	0.0	0.001559159	0.00188299	0.001595527	0.00129076	0.0009092427	0.00101094	0.001256149	0.0	0.001020632	0.001626564	0.001166173	0.001790305	0.001518409	0.001063162	0.001297772	0.001256676	0.0	0.00124958	0.001170164	0.0009794498	0.001169388	0.001957222	0.001415871	0.001498947	0.001279494	0.00187995	0.001758829	0.002536383	0.001063994	0.0008686838	0.001015997	0.001325015	0.001616927	0.001403552	0.000600724	0.001157372	0.0007465367	0.00121602
Pentadecanoic acid	0.02713921	0.02569607	0.02855612	0.04037756	0.02479962	0.02489259	0.03197093	0.04210094	0.05060335	0.0424194	0.03144524	0.03590669	0.04523989	0.04921721	0.03578572	0.03306691	0.04347195	0.02914963	0.0375488	0.02623793	0.04036317	0.02955302	0.04108221	0.04167055	0.02704723	0.02810023	0.03905638	0.03878796	0.03251796	0.02725511	0.02623975	0.02739365	0.03994295	0.02934147	0.03848583	0.05555705	0.03596201	0.02520877	0.0331546	0.03753903	0.03502178	0.04508324	0.05205612	0.02783553	0.03153195	0.03903806	0.03293055	0.03264777	0.04872238	0.03085951	0.04164335	0.0372876	0.06975381	0.05002971	0.03636782	0.04058318	0.03879131	0.04078857	0.0364421	0.05045004	0.02926316	0.05027708	0.03647811	0.03965283	0.03103623	0.02564929	0.02647044	0.04556575	0.05487978	0.03951643	0.04154403	0.03024521	0.05643633
Pipecolate	0.04295753	0.04834928	0.04583124	0.03831252	0.02806012	0.03550965	0.02949509	0.041622	0.03701503	0.05137538	0.02308563	0.03933181	0.06098052	0.02766022	0.04091211	0.04232796	0.03414654	0.03999933	0.04324039	0.04384524	0.02726591	0.04493642	0.03907071	0.02649227	0.04583328	0.02649066	0.02769808	0.04138023	0.02813467	0.02934056	0.03227909	0.0288652	0.03673429	0.05667391	0.03920178	0.04538829	0.03166901	0.0453827	0.07776994	0.04400896	0.06987908	0.04906966	0.07850521	0.04605695	0.04588245	0.04486264	0.05918053	0.04005684	0.03151995	0.02997524	0.02403755	0.03152087	0.02639395	0.0189157	0.05405299	0.02281393	0.03787735	0.02536389	0.06241725	0.03998682	0.03009372	0.02284891	0.02680152	0.05482643	0.04478249	0.08137578	0.06603425	0.08098043	0.05664179	0.09415574	0.03071259	0.0759675	0.1150063
Threonine	0.6158462	0.5803573	0.4753465	0.4887048	0.6299033	0.6217982	0.6272097	0.4733881	0.5926442	0.6422289	0.5050655	0.4285897	0.5136496	0.427353	0.3247802	0.3961174	0.4922322	0.5788319	0.6803436	0.669734	0.818767	0.8227047	0.8007315	0.3594931	0.4300158	0.3583299	0.4382364	0.468039	0.4037266	0.5529682	0.597401	0.6490977	0.5083339	0.353219	0.3707861	0.3449871	0.4553634	0.4622443	0.6852385	0.5863913	0.5760689	0.5460367	0.5688715	0.5283328	0.5495632	0.9547237	0.762884	0.8909134	0.9619345	0.4078208	0.4318293	0.3473762	0.3786081	0.4317803	0.651862	0.4553179	0.5769753	0.4560936	0.5047609	0.4149936	0.54916	0.4090551	0.603211	0.6233743	0.6612409	0.8373896	0.731612	0.7560488	0.6903595	0.7360231	0.5442865	0.5959554	0.4565132
Urate	1.493339	0.8436581	1.317189	1.288942	1.365221	1.626723	1.382652	1.463878	1.552915	1.898289	1.617593	1.229781	1.223171	1.171216	0.9713128	1.332851	1.522287	1.017981	0.6399024	0.8308749	0.8100642	1.222298	1.081669	1.754922	1.755986	2.050883	1.56545	1.811772	1.483445	1.383528	1.106876	1.318992	1.117592	1.566976	1.372342	1.374396	1.750795	1.477841	1.402588	1.657589	1.286494	1.012314	1.34588	1.315624	1.512748	1.228411	1.226269	1.136542	1.136184	1.094231	1.080854	1.019403	0.920597	1.149496	1.398449	1.553701	1.257373	1.498182	1.399404	1.473877	1.373996	1.331	1.406286	0.9435971	0.7481678	1.16991	0.9307522	1.234871	1.046957	1.110555	1.132942	0.953341	1.179366
Uridine	0.04706155	0.05003392	0.04666291	0.04504115	0.03897096	0.04242325	0.03973787	0.02856184	0.05918599	0.03373312	0.04828617	0.06137043	0.05412565	0.04705226	0.03267562	0.06313712	0.04941684	0.04271697	0.02899316	0.03979218	0.04201091	0.07689932	0.08888628	0.0623579	0.05353933	0.05146887	0.06343414	0.02573369	0.05819625	0.04235503	0.03527623	0.05059441	0.03762248	0.03326433	0.04455872	0.04336699	0.0475477	0.01978453	0.04583245	0.08010283	0.05461739	0.04520473	0.06034598	0.03147806	0.04932736	0.03562884	0.02609954	0.04569794	0.05812071	0.05032692	0.05785934	0.03729703	0.05286588	0.0461341	0.03624424	0.04781999	0.04923511	0.06480149	0.03100453	0.03550393	0.04246944	0.05319505	0.03902822	0.06028513	0.04921678	0.05860415	0.03951767	0.05367135	0.07145979	0.08899495	0.04485306	0.04717421	0.04407303
